code,name,voters,ballot_envelopes,valid_votes,Blok proti islam.-Obran.domova,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Komunistická str.Čech a Moravy,Občanská demokratická aliance,Občanská demokratická strana,"ROZUMNÍ-stop migraci,diktát.EU",Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Strana svobodných občanů,Strana zelených,Česká pirátská strana,Česká str.sociálně demokrat.,Řád národa - Vlastenecká unie
535010,Běleč,262,181,181,0,0,11,0,23,2,0,13,0,1,22,19,0
532070,Běloky,135,102,101,0,0,12,0,12,0,0,6,3,1,16,10,0
532088,Beřovice,272,152,152,1,0,6,0,21,3,0,13,2,3,18,12,0
535125,Bílichov,155,99,99,0,0,14,0,7,0,0,10,4,0,8,9,0
532100,Blevice,243,172,171,0,0,40,0,11,3,0,13,2,3,22,19,1
532118,Brandýsek,1438,894,883,3,1,83,0,99,7,1,49,13,14,128,70,1
532126,Braškov,847,625,619,0,0,54,0,90,5,0,40,7,11,101,35,0
532142,Bratronice,749,489,487,0,0,54,0,75,9,3,34,10,2,51,23,0
532169,Buštěhrad,2508,1645,1639,2,3,115,1,246,8,2,118,35,18,242,87,0
532185,Cvrčovice,568,354,353,0,0,45,0,53,3,1,20,5,2,41,22,1
532207,Černuc,810,418,414,1,0,40,0,36,5,0,21,4,10,50,23,2
532223,Doksy,1263,811,806,0,0,61,1,131,8,2,53,24,14,108,33,2
513130,Dolany,188,131,129,0,0,6,0,16,2,0,20,1,1,14,9,0
512991,Drnek,141,100,100,1,0,15,0,13,1,0,16,1,0,7,4,0
532274,Družec,830,564,563,1,1,40,0,92,4,2,42,10,3,66,43,1
532282,Dřetovice,366,226,224,1,0,34,1,19,2,0,7,4,4,24,16,0
532291,Dřínov,255,140,140,0,1,17,0,11,0,0,12,1,0,8,7,1
513075,Hobšovice,282,141,141,0,0,11,1,14,0,0,5,1,2,20,7,0
532312,Horní Bezděkov,482,381,381,0,0,31,1,78,3,0,22,2,2,60,18,0
532321,Hořešovice,214,144,142,0,0,11,0,34,0,0,8,1,1,6,10,0
535150,Hořešovičky,99,60,60,0,0,11,0,4,0,0,1,3,0,3,6,0
532339,Hospozín,415,192,191,0,0,31,0,19,0,0,19,5,1,12,10,1
532347,Hostouň,915,573,568,1,0,40,2,85,5,1,36,8,9,68,28,0
532355,Hradečno,409,264,263,0,0,17,0,41,1,0,15,2,1,43,9,0
532363,Hrdlív,392,251,250,0,0,23,0,26,4,0,8,8,1,22,18,0
532371,Hřebeč,1528,979,946,1,1,43,1,142,5,0,65,21,7,140,37,1
532398,Chržín,204,124,124,0,0,13,0,8,0,1,11,1,3,14,12,0
532401,Jarpice,228,137,137,0,0,28,0,12,4,1,9,0,1,13,5,0
532410,Jedomělice,305,203,202,0,0,22,0,23,3,0,28,6,1,17,14,0
532428,Jemníky,204,142,142,0,0,15,1,22,0,0,16,0,1,17,5,0
532444,Kačice,990,612,612,2,0,64,0,70,4,0,38,9,7,77,37,0
532452,Kamenné Žehrovice,1426,930,923,1,0,93,0,107,9,1,39,11,12,114,58,2
513032,Kamenný Most,356,197,196,0,0,32,0,25,1,0,13,2,3,21,8,0
532053,Kladno,53652,29228,29034,16,13,2482,35,3297,203,42,1285,594,433,3480,2001,49
532461,Klobuky,822,434,430,0,0,51,0,24,1,0,14,13,5,45,62,0
532479,Kmetiněves,228,137,136,0,0,12,0,16,3,0,9,1,2,19,4,1
532487,Knovíz,446,276,275,1,0,20,1,44,3,0,18,3,5,18,23,0
532495,Koleč,484,270,269,0,0,35,0,22,0,0,10,3,7,33,26,0
535109,Královice,173,124,124,0,0,18,0,19,0,0,5,6,1,9,5,0
571512,Kutrovice,89,52,52,0,0,8,0,4,0,0,5,3,0,10,6,0
532517,Kvílice,63,39,39,0,0,9,0,3,0,0,0,0,0,4,2,0
532525,Kyšice,496,338,338,0,0,33,0,49,1,0,16,18,2,54,13,0
541991,Lány,1626,1046,1032,1,0,107,5,168,13,1,70,18,11,119,69,1
532533,Ledce,380,247,244,0,0,42,0,14,3,0,22,4,2,25,11,0
513041,Lhota,495,363,362,1,0,46,1,55,1,0,17,1,4,48,23,2
564150,Libochovičky,49,40,40,0,0,3,0,7,0,0,2,0,0,7,0,0
571601,Libovice,266,180,180,0,0,13,0,22,2,0,7,3,3,28,15,2
532576,Libušín,2410,1354,1348,1,2,145,0,113,8,1,85,21,18,148,82,3
532584,Lidice,425,333,331,2,0,25,1,50,1,0,20,6,1,37,18,0
571555,Líský,90,66,65,0,0,9,1,7,0,0,5,3,1,2,1,0
535095,Loucká,105,68,68,0,2,11,0,3,2,0,1,1,0,1,3,0
532622,Makotřasy,340,226,226,0,0,12,0,24,1,0,11,6,6,25,15,0
532631,Malé Kyšice,385,276,273,0,1,10,0,48,0,0,11,6,5,40,18,1
513113,Malé Přítočno,199,136,134,0,0,9,1,30,0,0,10,3,2,18,9,0
532657,Malíkovice,321,192,192,0,1,27,0,17,1,1,13,6,5,15,11,0
571521,Neprobylice,134,80,78,0,0,4,0,9,1,0,3,0,0,9,7,0
532665,Neuměřice,330,184,184,0,0,16,0,23,3,0,9,1,0,24,11,0
532681,Otvovice,598,388,385,2,0,44,1,49,6,1,17,5,2,34,22,0
564192,Páleč,165,98,98,0,0,13,0,4,0,0,10,1,1,3,6,1
532711,Pavlov,135,86,85,0,0,12,0,11,1,1,4,2,0,15,3,1
532720,Pchery,1556,930,922,2,1,124,2,86,13,1,49,22,9,92,78,0
532738,Pletený Újezd,401,268,267,1,0,25,1,47,1,0,17,0,2,29,14,1
564125,Plchov,158,104,104,0,0,19,0,4,0,0,9,0,2,13,5,1
532754,Podlešín,253,152,150,1,0,16,0,13,0,1,15,4,3,14,17,0
564087,Poštovice,176,115,114,0,0,12,0,7,1,0,5,0,0,11,2,0
532762,Pozdeň,336,228,227,1,0,31,1,24,3,0,9,2,3,15,23,0
532771,Přelíc,317,198,198,0,0,14,1,15,5,0,13,4,2,24,10,0
532797,Řisuty,290,194,193,1,0,13,0,20,3,2,13,11,1,31,6,0
532801,Sazená,257,159,158,1,0,19,0,13,3,0,8,4,1,20,5,0
532819,Slaný,12020,6948,6919,8,4,569,11,857,39,5,411,171,113,791,511,11
532827,Slatina,448,291,289,0,0,41,0,32,0,0,26,4,2,24,16,0
532835,Smečno,1472,790,787,0,1,83,0,99,6,2,68,9,13,68,54,1
532851,Stehelčeves,616,392,391,0,0,44,0,63,2,1,34,5,7,51,15,1
532860,Stochov,4432,2325,2310,1,0,228,1,186,43,3,151,39,17,203,267,2
599441,Stradonice,95,45,45,0,0,8,0,5,0,0,0,1,0,2,3,0
551457,Studeněves,357,215,215,0,0,16,0,31,3,0,17,3,1,29,5,1
599433,Svárov,429,306,303,1,0,10,0,52,1,0,46,8,2,47,12,0
532908,Svinařov,578,364,359,2,0,38,0,47,2,0,11,3,2,32,42,2
532916,Šlapanice,143,79,79,0,0,11,0,11,2,0,1,0,2,6,14,0
532959,Třebichovice,471,283,283,0,0,31,0,34,4,0,13,2,2,25,8,1
532967,Třebíz,190,144,143,0,0,14,1,27,2,0,5,1,2,18,8,0
532975,Třebusice,418,246,242,0,0,30,0,19,1,0,11,3,5,21,14,0
532983,Tuchlovice,1983,1314,1305,2,2,121,0,169,8,1,184,17,23,134,71,2
532177,Tuřany,479,293,292,0,0,32,1,25,2,1,12,4,6,39,17,0
533009,Uhy,288,148,148,0,0,18,1,16,1,1,10,3,4,17,8,0
533017,Unhošť,3626,2396,2376,3,2,153,5,345,13,3,114,56,38,341,164,2
533025,Velká Dobrá,1365,995,988,1,0,49,0,175,13,3,64,13,9,122,53,1
533033,Velké Přítočno,805,535,533,1,0,39,1,64,3,0,26,12,9,77,21,0
533041,Velvary,2472,1448,1440,3,0,153,1,161,21,1,115,14,29,130,129,5
533050,Vinařice,1984,1223,1219,4,2,128,1,98,14,3,42,20,13,140,93,0
533068,Vraný,580,309,308,0,1,35,0,18,5,0,19,9,2,29,26,1
571431,Vrbičany,187,88,88,0,1,20,0,3,0,0,0,0,1,8,7,2
571598,Zájezd,92,58,57,1,0,3,0,10,2,0,5,2,0,2,2,0
533092,Zákolany,454,287,287,0,0,32,1,29,1,1,32,3,5,39,20,0
571423,Zichovec,119,105,105,0,0,6,0,16,0,0,17,1,3,9,10,0
533114,Zlonice,1806,881,876,1,0,105,0,70,15,2,39,15,13,61,60,1
533122,Zvoleněves,701,364,364,0,0,43,0,36,0,0,6,7,6,43,26,1
599425,Želenice,151,91,91,0,0,11,0,1,1,0,2,0,1,11,10,0
533149,Žilina,645,427,425,1,0,54,0,48,3,0,29,11,6,49,29,0
533157,Žižice,487,298,296,1,0,27,0,43,3,0,17,1,3,40,16,1
